id;classroom;time window;is_lab;lab_type;weekday
769;I202;N4;0;0;5
770;I202;N5;0;0;5
771;I202;N2;0;0;6
772;I202;N3;0;0;6
773;I202;N4;0;0;6
774;I202;N5;0;0;6
775;A040;N1;0;0;5
776;A040;N2;0;0;5
777;A040;N3;0;0;5
778;I204;N2;0;0;2
779;I204;N3;0;0;2
780;I204;N4;0;0;2
781;I204;N5;0;0;2
782;A142;N4;0;0;3
783;A142;N5;0;0;3
784;I204;N4;0;0;4
785;I204;N5;0;0;4
786;P003;N3;0;0;6
787;P003;N4;0;0;6
788;P003;N5;0;0;6
789;P001;N1;0;0;2
790;P001;N2;0;0;2
791;P001;N3;0;0;2
792;P001;N2;0;0;4
793;P001;N3;0;0;4
794;I201;T2;0;0;2
795;I201;T3;0;0;2
796;I203;T4;0;0;2
797;I203;T5;0;0;2
798;I203;T2;0;0;4
799;I203;T3;0;0;4
800;I201;T2;0;0;5
801;I201;T3;0;0;5
802;I201;N1;0;0;3
803;I201;N2;0;0;3
804;I201;N3;0;0;3
805;I201;N4;0;0;5
806;I201;N5;0;0;5
807;I201;N1;0;0;5
808;I201;N2;0;0;5
809;I201;N3;0;0;5
810;I201;N4;0;0;6
811;I201;N5;0;0;6
812;I202;T1;0;0;2
813;I202;T2;0;0;2
814;I202;T3;0;0;2
815;A136;N2;0;0;2
816;A136;N3;0;0;2
817;A136;N4;0;0;3
818;A136;N5;0;0;3
819;I202;T1;0;0;4
820;I202;T2;0;0;4
821;I202;T3;0;0;4
822;I205;N1;0;0;2
823;I205;N2;0;0;2
824;I205;N3;0;0;2
825;I205;N4;0;0;2
826;I205;N5;0;0;2
827;I205;T4;0;0;3
828;I205;T5;0;0;3
829;I205;N4;0;0;3
830;I205;N5;0;0;3
831;I205;M4;0;0;4
832;I205;M5;0;0;4
833;I205;N2;0;0;4
834;I205;N3;0;0;4
835;I205;T2;0;0;3
836;I205;T3;0;0;3
837;I202;N2;0;0;3
838;I202;N3;0;0;3
839;I205;T4;0;0;6
840;I205;T5;0;0;6
841;I203;N4;0;0;6
842;I203;N5;0;0;6
843;I202;N4;0;0;2
844;I202;N5;0;0;2
845;A040;N1;0;0;4
846;A040;N2;0;0;4
847;A040;N3;0;0;4
848;A040;N4;0;0;4
849;A040;N5;0;0;4
850;A040;T2;0;0;5
851;A040;T3;0;0;5
852;A040;T2;0;0;6
853;A040;T3;0;0;6
854;A040;N2;0;0;6
855;A040;N3;0;0;6
856;A040;N4;0;0;6
857;A040;N5;0;0;6
858;P105;N4;0;0;2
859;P105;N5;0;0;2
860;A038;N2;0;0;3
861;A038;N3;0;0;3
862;A144;N2;0;0;6
863;A144;N3;0;0;6
864;A144;N2;0;0;2
865;A144;N3;0;0;2
866;A145;N2;0;0;3
867;A145;N3;0;0;3
868;A144;T4;0;0;4
869;A144;T5;0;0;4
870;I205;N2;0;0;5
871;I205;N3;0;0;5
872;I205;N4;0;0;6
873;I205;N5;0;0;6
874;I203;N2;0;0;3
875;I203;N3;0;0;3
876;I203;T2;0;0;5
877;I203;T3;0;0;5
878;I203;N4;0;0;5
879;I203;N5;0;0;5
880;I203;T2;0;0;6
881;I203;T3;0;0;6
882;A040;M4;0;0;2
883;A040;M5;0;0;2
884;A040;M4;0;0;3
885;A040;M5;0;0;3
886;I204;N2;0;0;5
887;I204;N3;0;0;5
888;I203;N4;0;0;2
889;I203;N5;0;0;2
890;I203;N1;0;0;4
891;I203;N2;0;0;4
892;I203;N3;0;0;4
893;P003;T2;0;0;2
894;P003;T3;0;0;2
895;P003;N1;0;0;2
896;P003;N2;0;0;2
897;P003;N3;0;0;2
898;P003;N4;0;0;2
899;P003;N5;0;0;2
900;P003;T2;0;0;3
901;P003;T3;0;0;3
902;P003;N2;0;0;3
903;P003;N3;0;0;3
904;P003;N4;0;0;3
905;P003;N5;0;0;3
906;A040;T1;0;0;2
907;A040;T2;0;0;2
908;A040;T3;0;0;2
909;I201;N2;0;0;2
910;I201;N3;0;0;2
911;A040;N4;0;0;2
912;A040;N5;0;0;2
913;A040;N1;0;0;3
914;A040;N2;0;0;3
915;A040;N3;0;0;3
916;I201;N4;0;0;3
917;I201;N5;0;0;3
918;I205;M4;0;0;5
919;I205;M5;0;0;5
920;P004;N4;0;0;5
921;P004;N5;0;0;5
922;I205;M4;0;0;6
923;I205;M5;0;0;6
924;P004;N2;0;0;6
925;P004;N3;0;0;6
926;I203;N4;0;0;3
927;I203;N5;0;0;3
928;I203;N4;0;0;4
929;I203;N5;0;0;4
930;A040;N2;0;0;2
931;A040;N3;0;0;2
932;A040;N4;0;0;3
933;A040;N5;0;0;3
934;I204;N2;0;0;3
935;I204;N3;0;0;3
936;I204;N4;0;0;5
937;I204;N5;0;0;5
938;B001;M1;0;0;2
939;B001;M2;0;0;2
940;B001;M3;0;0;2
941;B001;M4;0;0;2
942;B001;M5;0;0;2
943;B001;T1;0;0;2
944;B001;T2;0;0;2
945;B001;T3;0;0;2
946;B001;T4;0;0;2
947;B001;T5;0;0;2
948;B001;N1;0;0;2
949;B001;N2;0;0;2
950;B001;N3;0;0;2
951;B001;N4;0;0;2
952;B001;N5;0;0;2
953;B001;M1;0;0;3
954;B001;M2;0;0;3
955;B001;M3;0;0;3
956;B001;M4;0;0;3
957;B001;M5;0;0;3
958;B001;T1;0;0;3
959;B001;T2;0;0;3
960;B001;T3;0;0;3
961;B001;T4;0;0;3
962;B001;T5;0;0;3
963;B001;N1;0;0;3
964;B001;N2;0;0;3
965;B001;N3;0;0;3
966;B001;N4;0;0;3
967;B001;N5;0;0;3
968;B001;M1;0;0;4
969;B001;M2;0;0;4
970;B001;M3;0;0;4
971;B001;M4;0;0;4
972;B001;M5;0;0;4
973;B001;T1;0;0;4
974;B001;T2;0;0;4
975;B001;T3;0;0;4
976;B001;T4;0;0;4
977;B001;T5;0;0;4
978;B001;N1;0;0;4
979;B001;N2;0;0;4
980;B001;N3;0;0;4
981;B001;N4;0;0;4
982;B001;N5;0;0;4
983;B001;M1;0;0;5
984;B001;M2;0;0;5
985;B001;M3;0;0;5
986;B001;M4;0;0;5
987;B001;M5;0;0;5
988;B001;T1;0;0;5
989;B001;T2;0;0;5
990;B001;T3;0;0;5
991;B001;T4;0;0;5
